,A01_02_1FE,A02_01_1FE,A03_01_1FE,A04_01_1FE,A04_04_1FE,A05_01_1FE,A06_01_1FE,A07_01_1FE,A08_01_1FE,A09_01_1FE,A10_01_1FE,A10_02_1FE,A11_01_1FE,A13_01_1FE,A13_03_1FE,A14_01_1FE,A15_02_1FE,A19_01_1FE,A19_03_1FE,A20_01_1FE,A20_03_1FE,A22_01_1FE,A23_01_1FE,A24_02_1FE,A24_04_1FE,A25_01_1FE,A27_02_1FE,A28_02_1FE,A29_01_1FE,A32_01_1FE,A34_01_1FE,A34_02_1FE,A35_01_1FE,A36_01_1FE,A36_02_1FE,A39_01_1FE,A39_02_1FE,A39_04_1FE,A40_02_1FE,A41_01_1FE,A42_02_1FE,A43_02_1FE,A44_01_1FE,A45_02_1FE,A46_01_1FE,A46_02_1FE,A47_01_1FE,A47_02_1FE,A48_01_1FE,A48_05_1FE,A49_01_1FE,A53_01_1FE,A54_02_1FE,A55_01_1FE,A55_02_1FE,A56_01_1FE,A58_01_1FE,A58_03_1FE,A59_01_1FE,A62_01_1FE,A62_03_1FE,A66_02_1FE,A67_01_1FE,A68_01_1FE,A69_01_1FE,A69_02_1FE,A70_01_1FE,A70_03_1FE,A72_01_1FE,A72_02_1FE,A73_01_1FE,A75_02_1FE,A79_02_1FE,A81_01_1FE,A81_03_1FE,A82_02_1FE,A83_02_1FE,A85_01_1FE,A88_02_1FE,A89_01_1FE,A89_02_1FE,A90_03_1FE,A90_04_1FE,A91_01_1FE,A91_02_1FE,A92_01_1FE,A93_01_1FE,A94_01_1FE,A94_02_1FE,A94_03_1FE,A95_01_1FE,V01_01_1FE,V06_02_1FE,V07_01_2FE,V07_02_2FE,V12_01_2FE,V18_02_1FE,V19_01_2FE,V19_02_2FE,V30_01_1FE,V31_01_2FE,V32_02_2FE,V36_02_2FE,V40_01_1FE,V48_03_2FE,V50_01_1FE,V50_01_2FE,V50_02_1FE,V53_02_1FE,V54_01_1FE
A01_02_1FE__bin.20_00001,18,0,0,0,56,1,0,238,7,1,1,1,1,1,122,2,1344,0,0,0,339,400,0,0,4,645,2,107,2,925,428,0,3,2,143,0,0,0,0,2,3,3,4,1,44,11,3,0,4,0,0,197,48,1,4,659,0,0,0,3,0,2,3,1,25,1488,261,0,8,3,1,263,2,6,231,0,3,249,1,0,1179,584,4503,1,383,0,3,6,8,19,383,2,0,0,0,1650,2,199,252,5,7,0,0,619,0,0,0,391,0,227
A01_02_1FE__bin.20_00002,1,0,0,0,28,1,0,57,0,0,0,0,0,0,72,0,596,0,1,0,65,75,0,0,0,149,0,14,2,242,84,0,2,0,24,0,1,1,0,82,0,0,0,2,5,1,0,2,1,0,0,26,3,0,1,241,0,0,0,0,0,1,1,0,1,404,50,0,2,0,0,74,0,0,62,0,0,55,0,0,237,179,1341,0,120,0,0,0,0,0,95,0,0,0,0,345,1,85,23,2,0,0,0,156,0,0,0,122,2,66
A01_02_1FE__bin.20_00003,5,0,1,9,45,3,0,224,7,3,0,0,0,3,107,1,0,0,0,6,125,0,2,0,3,425,1,87,1,662,257,0,10,0,73,1,0,0,1,193,0,0,3,5,20,11,0,24,1,2,4,96,35,0,1,406,0,0,1,4,0,2,3,3,0,997,164,2,2,3,0,172,5,0,145,1,6,179,2,3,740,442,1370,0,298,1,0,3,0,1,248,0,0,0,0,1091,3,198,96,10,22,0,0,358,6,0,0,278,2,140
A01_02_1FE__bin.20_00004,1,0,0,1,12,0,0,49,0,0,0,0,0,0,31,0,319,0,0,0,23,35,0,0,2,94,0,4,1,125,50,0,1,0,21,0,0,0,0,36,0,0,0,0,4,1,0,0,0,0,1,10,5,0,0,86,0,0,1,0,0,0,0,0,1,149,28,0,0,0,0,31,0,1,27,0,0,25,0,0,123,76,457,0,51,0,0,0,0,0,57,0,0,0,0,195,1,36,28,0,4,0,0,56,0,0,0,45,0,40
A01_02_1FE__bin.20_00005,2,0,0,3,52,1,1,498,3,1,0,0,1,0,367,19,3537,0,1,0,501,777,1,3,4,1394,4,287,2,1927,1007,0,10,3,255,1,4,0,0,529,0,1,0,5,6,7,2,7,1,1,9,200,44,1,8,1549,0,0,2,1,1,5,3,3,4,2934,617,2,6,4,0,756,9,0,430,1,3,683,2,6,2900,1320,9811,0,968,2,1,7,0,0,693,1,0,0,0,3945,5,693,411,6,24,0,1,1251,4,1,0,968,3,381
A01_02_1FE__bin.20_00006,4,1,0,7,30,0,0,496,11,3,2,1,1,2,340,25,4129,0,1,2,495,759,1,1,2,1309,3,361,2,2000,980,0,12,3,273,0,3,0,1,546,1,0,1,4,53,6,0,32,3,1,6,228,77,0,11,1393,1,0,2,4,2,4,5,2,10,3179,532,1,9,6,1,778,5,5,502,0,4,572,1,6,2498,1241,10633,1,961,1,2,9,1,1,796,1,0,2,0,3793,8,599,399,25,12,1,0,1296,1,0,1,916,1,375
A01_02_1FE__bin.20_00007,3,0,0,5,26,2,0,211,13,0,1,2,0,0,140,2,2016,0,1,1,164,265,0,4,3,461,6,102,1,712,316,0,2,1,62,0,2,0,0,211,0,0,2,2,12,5,2,3,6,0,9,83,47,7,0,482,20,0,1,1,2,2,2,3,3,1061,189,0,8,2,1,156,0,0,196,0,7,180,2,0,812,456,3572,0,335,0,1,9,2,3,303,0,0,8,0,1266,1,232,120,8,15,0,0,575,7,0,0,330,2,164
A01_02_1FE__bin.20_00009,0,0,0,0,32,0,0,224,1,0,0,0,0,0,126,0,2448,0,0,1,145,303,0,0,0,439,0,59,1,596,356,1,2,0,38,0,1,0,0,223,0,1,1,1,4,1,0,4,1,0,1,64,59,0,3,559,0,0,0,1,3,4,0,1,1,1170,230,2,4,2,0,215,1,1,208,0,1,196,0,0,792,382,3794,1,329,0,0,0,0,0,317,0,0,2,0,1365,0,282,99,2,6,0,0,556,1,0,0,389,0,181
A01_02_1FE__bin.20_00010,0,0,0,0,21,1,0,34,0,0,0,0,0,0,28,0,402,0,0,0,36,25,0,0,0,73,0,36,0,144,63,0,0,0,2,0,0,0,0,35,0,0,0,0,1,0,0,0,0,0,0,25,12,0,1,96,0,0,0,0,0,0,1,0,0,198,20,0,0,0,0,28,0,0,27,0,3,38,0,1,154,88,747,0,52,0,0,0,0,0,46,0,0,0,0,201,0,38,36,0,0,0,0,64,1,0,0,61,0,24
A01_02_1FE__bin.20_00011,0,0,0,1,46,0,0,120,0,1,0,0,0,1,79,3,1575,0,0,1,110,159,1,0,0,307,0,62,0,408,206,0,3,0,50,0,0,0,0,139,0,0,0,0,0,2,0,1,1,0,1,69,38,0,2,380,0,0,1,0,0,1,1,2,1,752,126,0,2,0,0,148,1,1,117,0,1,131,0,2,613,305,2646,0,211,0,0,0,0,0,221,0,0,0,0,857,0,162,72,1,0,0,0,285,1,0,0,232,0,106
